year,border,type,volume_GWh,is_estimate,notes,source
2023,Armenia,import,32,1,part of 212 GWh total imports; OEC Armenia=$1.27M 2022 proxy,OEC / CEIC
2024,Georgia (Samukh-Gardabani),export,300,1,~21% of total 1397 GWh; Georgian transit data: AZ transit to TR = 1.015 TWh,Caliber.az Jul 2025 / GNERC 2024
2024,Georgia (Samukh-Gardabani),import,20,1,small flows; GSE balance,GNERC 2024 / Galt & Taggart FY24
2024,Turkey (via Georgia transit),export,1040,0,94.4% of 1.1 TWh transit through Georgia,GNERC 2024 Annual Market Review
2024,Iran (Mugan / Astara / Julfa),export,130,1,~9% of total 1397 GWh,Caliber.az Jul 2025 / Enerdata
2024,Iran (Mugan / Astara / Julfa),import,75,1,part of estimated ~200 GWh total imports,SSC Azerbaijan / Enerdata
2024,Russia (Hajigabul-Mozdok),export,5,1,marginal,Caliber.az / Enerdata
2024,Russia (Hajigabul-Mozdok),import,90,1,part of estimated ~200 GWh total imports,SSC Azerbaijan / Enerdata
2024,Armenia,import,25,1,small volumes,SSC Azerbaijan / Enerdata
2025,Georgia (Samukh-Gardabani),export,180,1,~25% of total ~737 GWh (jan-jul); Georgia imports from AZ 417 GWh full yr (2.2x 2024),APA.az Jan 2026 citing GSE annual report
2025,Georgia (Samukh-Gardabani),import,49,1,Georgia exported 49 GWh to AZ in 2025 (9.8% of 500 GWh),Galt & Taggart FY25
2025,Turkey (via Georgia transit),export,594,0,Azerbaijan share of transit through Georgia to Turkey,APA.az Jan 2026 / Galt & Taggart FY25
2025,Iran (Mugan / Astara / Julfa),export,50,1,~7% of total ~737 GWh (jan-jul annualised),Report.az Aug 2025 / Enerdata
2025,Iran (Mugan / Astara / Julfa),import,60,1,estimated; swap flows Nakhchivan continuing,SSC Azerbaijan / Enerdata
2025,Russia (Hajigabul-Mozdok),export,5,1,marginal,Report.az Aug 2025
2025,Russia (Hajigabul-Mozdok),import,70,1,estimated based on prior years trend,SSC Azerbaijan / Enerdata
2025,Armenia,import,20,1,small volumes estimated,SSC Azerbaijan / Enerdata
